0;13;0;1;0.0;0.0
0;12;0;1;0.0;0.0
1;29;0;2;0.3333333333333333;0.03333333333333333
0;11;0;2;0.0;0.0
2;8;0;0;1.0;0.2
3;6;0;4;0.42857142857142855;0.3333333333333333
2;6;0;0;1.0;0.25
1;4;0;2;0.3333333333333333;0.2
0;6;0;5;0.0;0.0
0;11;0;3;0.0;0.0
1;6;0;1;0.5;0.14285714285714285
1;5;0;1;0.5;0.16666666666666666
0;6;0;4;0.0;0.0
0;6;0;3;0.0;0.0
1;4;0;2;0.3333333333333333;0.2
1;7;0;0;1.0;0.125
0;12;0;0;0;0.0
0;10;0;1;0.0;0.0
0;7;0;1;0.0;0.0
0;7;0;0;0;0.0
0;7;0;1;0.0;0.0
0;8;0;3;0.0;0.0
0;8;0;3;0.0;0.0
0;8;0;2;0.0;0.0
1;7;0;3;0.25;0.125
1;5;0;3;0.25;0.16666666666666666
1;8;0;3;0.25;0.1111111111111111
1;10;0;3;0.25;0.09090909090909091
0;8;0;2;0.0;0.0
0;15;0;3;0.0;0.0
1;13;0;1;0.5;0.07142857142857142
0;7;0;4;0.0;0.0
1;14;0;3;0.25;0.06666666666666667
0;15;0;3;0.0;0.0
0;11;0;2;0.0;0.0
1;5;0;2;0.3333333333333333;0.16666666666666666
1;9;0;1;0.5;0.1
1;8;0;1;0.5;0.1111111111111111
0;9;0;2;0.0;0.0
0;4;0;1;0.0;0.0
2;5;0;0;1.0;0.2857142857142857
1;13;0;4;0.2;0.07142857142857142
0;6;0;1;0.0;0.0
0;12;0;2;0.0;0.0
1;8;0;3;0.25;0.1111111111111111
0;22;0;2;0.0;0.0
2;6;0;0;1.0;0.25
0;11;0;2;0.0;0.0
0;9;0;2;0.0;0.0
0;7;0;0;0;0.0
1;13;0;2;0.3333333333333333;0.07142857142857142
1;7;0;0;1.0;0.125
0;15;0;2;0.0;0.0
0;15;0;2;0.0;0.0
0;10;0;0;0;0.0
0;9;0;0;0;0.0
0;9;0;0;0;0.0
0;9;0;2;0.0;0.0
0;16;0;0;0;0.0
0;4;0;1;0.0;0.0
0;21;0;0;0;0.0
0;5;0;1;0.0;0.0
1;5;0;1;0.5;0.16666666666666666
1;5;0;1;0.5;0.16666666666666666
2;9;0;2;0.5;0.18181818181818182
1;8;0;2;0.3333333333333333;0.1111111111111111
0;6;0;1;0.0;0.0
0;7;0;2;0.0;0.0
0;10;0;1;0.0;0.0
0;5;0;1;0.0;0.0
1;11;0;2;0.3333333333333333;0.08333333333333333
0;6;0;3;0.0;0.0
0;11;0;0;0;0.0
0;15;0;3;0.0;0.0
1;5;0;0;1.0;0.16666666666666666
0;3;0;0;0;0.0
0;3;0;0;0;0.0
0;10;0;1;0.0;0.0
0;9;0;2;0.0;0.0
1;6;0;3;0.25;0.14285714285714285
0;7;0;3;0.0;0.0
0;16;0;1;0.0;0.0
1;9;0;2;0.3333333333333333;0.1
0;5;0;2;0.0;0.0
0;11;0;2;0.0;0.0
0;20;0;0;0;0.0
0;3;0;1;0.0;0.0
0;10;0;0;0;0.0
0;4;0;1;0.0;0.0
1;9;0;1;0.5;0.1
0;7;0;3;0.0;0.0
1;6;0;0;1.0;0.14285714285714285
1;6;0;1;0.5;0.14285714285714285
0;9;0;1;0.0;0.0
0;3;0;1;0.0;0.0
0;13;0;0;0;0.0
0;10;0;1;0.0;0.0
1;5;0;1;0.5;0.16666666666666666
0;6;0;2;0.0;0.0
0;3;0;0;0;0.0
